"X","rbd","cluster","Avg..SIMCE.Lang","Avg..SIMCE.Math","Public","SEP.status","X..Priority.Students","Diff.D1.GPA","Diff.D2.GPA","Diff.D9.GPA","Diff.D10.GPA","simce_math_min_4_D1","simce_math_min_4_D10","simce_math_min_4_D2","simce_math_min_4_D3D8","simce_math_min_4_D9","asistencia_4_D1","asistencia_4_D10","asistencia_4_D2","asistencia_4_D3D8","asistencia_4_D9","asistencia","n_total","n_D1","n_D2","n_D3D8","n_D9","n_D10","simce_math_min_4","min_math_school","min_lang_school","min_math_school_GPA_D1","min_math_school_GPA_D10","min_math_school_GPA_D2","min_math_school_GPA_D3D8","min_math_school_GPA_D9","min_lang_school_GPA_D1","min_lang_school_GPA_D10","min_lang_school_GPA_D2","min_lang_school_GPA_D3D8","min_lang_school_GPA_D9","min_math","min_math_D1","min_math_D2","min_math_D9","min_math_D10","impute_all","impute_pred_min_all","impute_pred_min_decile","impute_no","impute_pred_min_school","impute_pred_min_school_GPA"
1128,9147,1,273,279,0,1,0.525641,-0.517667364600057,0,0,0,231.82,259.2,170.33,164.75,194.52,0.333333333333333,1,1,1,1,0.932203389830508,59,6,6,36,6,5,164.75,164.75,151.28,231.82,259.2,170.33,164.75,194.52,286.29,292.08,226.53,151.28,238.32,100.93,105.04,106.56,100.93,112.29,266.927457627119,269.625658208712,269.842025619069,279,272.985407145198,276.516249532695
1129,9150,1,242,249,0,1,0.489967,0,0,-0.059960307298987,0,140.28,278.01,122.85,166.25,239.4,1,1,1,0.909090909090909,0.857142857142857,0.932432432432432,74,8,8,44,7,7,122.85,122.85,133.94,140.28,278.01,122.85,166.25,239.4,154.18,280.16,149.58,133.94,228.16,100.93,105.04,106.56,100.93,112.29,238.99527027027,248.160158663347,248.160158663347,249,248.284487170806,248.945549558777
1130,9158,1,258,258,0,1,0.477238,-0.0424276980298861,0,0,0,139.5,240.64,153.95,143.52,209.84,0.823529411764706,1,1,0.947916666666667,1,0.950617283950617,162,17,17,96,16,16,139.5,139.5,166.47,139.5,240.64,153.95,143.52,209.84,173.02,260.05,175.81,166.47,245.12,100.93,105.04,106.56,100.93,112.29,250.243456790123,257.300678919738,257.318977828759,258,257.472403718017,257.472403718017
1131,9162,1,253,255,0,1,0.358934,-0.167772517868371,-0.14965886225712,0,0,144.1,241.64,192.71,148.03,165.86,0.666666666666667,1,0.777777777777778,0.980392156862745,1,0.928571428571429,84,9,9,51,8,7,144.1,144.1,128.3,144.1,241.64,192.71,148.03,165.86,128.3,301.14,151.82,131.15,241.91,100.93,105.04,106.56,100.93,112.29,243.995,249.760001492578,249.924157682894,255,251.228234994009,252.0076904184
1132,9165,2,252,251,0,1,0.614583,-0.520625024047132,0,0,-0.00695414456021792,159.04,265.15,155.24,160.52,247.01,0.6,1,1,1,1,0.95,40,5,4,23,4,4,155.24,155.24,169.86,159.04,265.15,155.24,160.52,247.01,212.19,286.9,192.49,169.86,247.49,100.93,105.04,106.56,100.93,112.29,243.4965,241.129364482741,241.404735497065,251,244.701525573847,245.025255463131
1133,9168,1,294,297,0,1,0.43672,-0.134634240128943,0,0,0,253.53,282.28,239.21,236.91,278.11,0.75,1,1,0.952380952380952,1,0.943661971830986,71,8,7,42,7,7,236.91,236.91,208.04,253.53,282.28,239.21,236.91,278.11,208.04,293.1,250.96,218.06,286.11,100.93,105.04,106.56,100.93,112.29,285.953802816901,294.025607271878,294.087956198856,297,296.088431381482,296.340557699335
1134,9171,1,246,230,0,1,0.472426,0,0,0,0,163.16,226.56,159.03,152.68,191.59,1,0.857142857142857,1,0.976744186046512,1,0.972602739726027,73,8,8,43,7,7,152.68,152.68,141.22,163.16,226.56,159.03,152.68,191.59,141.22,253.33,152.44,159.38,275.58,100.93,105.04,106.56,100.93,112.29,226.463835616438,230,230,230,230,230
1135,9172,1,234,227,0,1,0.696552,-0.330789528338319,0,0,0,175.39,175.39,244.58,180.05,267.16,0.5,1,1,1,1,0.923076923076923,13,2,2,7,1,1,175.39,175.39,188.6,175.39,NA,244.58,180.05,267.16,199.9,NA,245.51,188.6,282.14,100.93,105.04,106.56,100.93,112.29,217.302307692308,220.584209871137,220.79337063444,227,224.373531144994,NA
1136,9175,1,235,237,0,1,0.740741,0,0,0,0,146.03,240.36,154.25,171.24,203.88,1,1,1,1,1,1,22,3,3,12,2,2,146.03,146.03,139.35,146.03,240.36,154.25,171.24,203.88,139.35,226.67,162.63,161.28,210.5,100.93,105.04,106.56,100.93,112.29,237,237,237,237,237,237
1137,9179,2,277,287,0,1,0.155689,-0.404886947223987,0,0,0,208.38,315.39,172.34,197.24,288.13,0.571428571428571,1,1,0.880952380952381,1,0.880597014925373,67,7,7,41,6,6,172.34,172.34,147.47,208.38,315.39,172.34,197.24,288.13,158.33,265.77,147.47,170.03,304.12,100.93,105.04,106.56,100.93,112.29,264.782686567164,279.128937315078,279.302796978834,287,282.149696095807,283.674246529325
