"","rbd","cluster","Avg. SIMCE Lang","Avg. SIMCE Math","Public","SEP status","% Priority Students","Diff D1 GPA","Diff D2 GPA","Diff D9 GPA","Diff D10 GPA"
"867","9685",1,247,251,0,1,0.439834,0.144303357402484,-0.267871304154396,0.0349035983085633,0.0314769476652146
"868","26341",1,283,279,0,1,0.65678,0.104477047026157,-0.179936904013157,0.0387476358413696,0.0114090347290039
"869","11835",1,277,268,0,1,0.424615,0.070476112216711,0.0605414212495089,0.00784453471501667,0.0167631380558014
"870","24812",1,300,304,0,1,0.4041,0.0764541088342666,0.0556860767801602,-0.0451667646070322,0.057229493111372
"871","25766",1,262.271,259.618,0,0,0.199463,-0.0407312617823482,-0.0641609887778759,0.0628104564818469,0.0814650326967239
"872","10743",1,248,222,0,1,0.612457,-0.272954634626706,0.0793170656760533,0.0358697644472122,0.0191548973321914
"873","11931",1,250,229,0,1,0.56351,0.0512942183549915,0.216837514042854,0.0356618839502335,0.0234052187204361
"874","10835",1,238,230,1,1,0.60076,0.15554678718249,-0.138841274857521,0.0422783425450325,0.0287957540154458
"875","9017",1,275,286,0,1,0.364985,0.0185251052677632,0.0726305714845658,0.0193835067749023,0.0280126254558564
"876","9150",NA,242,249,0,1,0.489967,NA,NA,NA,NA
"877","26158",1,246,232,0,1,0.478814,0.0518646011749904,0.133088968575001,0.0466092362999916,0.00776058793067935
"878","8658",1,283,275,0,1,0.322767,0.0296194969283209,-0.0465959542989731,-0.00667563132941729,0.0334918446342151
"879","9666",1,248,230,0,1,0.803279,0.145840031802654,0.0446510208845139,0.130985139548779,0.0573192305862904
"880","26274",1,283,305,0,1,0.743056,-0.0624226771388203,0.174160431474447,0.0368659836053848,0.0181838212410609
"881","10074",1,243,218,1,1,0.770492,0.322934383607159,-0.158449652642012,0.0489857107400894,0.047073261141777
"882","8592",1,291,280,0,1,0.15843,0.068355417305773,0.0822165199120839,0.0479736847877502,0.0328509931904929
"883","9574",1,251,243,0,1,0.640468,0.0859941495789421,0.0587948687510057,0.0283575570583343,0.0139286753109523
"884","31066",2,282,271,0,1,0.618123,-0.0670243550198419,-0.436266866475344,0.0322151734147753,0.102308502435684
"885","10484",1,271,248,0,1,0.341146,0.0552050994634629,0.0216148488223553,0.0592374480962753,0.0188588166236877
"886","16890",NA,263,242,0,1,0.21875,NA,NA,NA,NA
"887","8827",1,279,275,0,0,0.129508,-0.0666391068696975,-0.0998655529816945,0.0426359023650488,-0.107128520097051
"888","9945",1,229,241,0,1,0.59,0.0266024160385132,0.0339711439609528,0.0559182337919871,0.136582304338614
"889","25788",1,267,255,1,1,0.434851,0.123823296768325,-0.0719694813340902,0.0323019274324179,-0.0225326803007296
"890","9892",1,255,249,1,1,0.371642,0.0316151712834835,0.00521843701601021,-0.0533285591006278,0.0965491766399807
"891","10277",1,243,236,1,1,0.670782,0.225805263966322,-0.103290083209674,0.196511524289846,-0.0984307621206556
"892","26379",1,279,268,0,0,0.143627,0.0145223210006953,0.017727260813117,0.0555913946032525,0.03972613966465
"893","10868",1,248,267,1,1,0.650794,0.0908938878774643,0.0222608429193497,0.0736642110347748,0.038956338763237
"894","24766",2,248,216,0,1,0.407407,0.0964195397496224,0.064293475151062,-0.59109080751737,-0.223271137277285
"895","25464",1,282,270,0,0,0.280077,-0.0995386583759235,0.0472592720058229,0.0707620212715119,0.0307513584873893
"896","11809",1,276,252,0,1,0.554286,0.175693199336529,0.154827905967832,0.0388078584273657,0.0266850960254669
"897","9877",1,226,237,1,1,0.664908,0.153755894079804,-0.176004167993863,0.0383095406492551,0.0286363685131072
"898","10640",2,209,185,1,1,0.771704,-0.287378463943799,-0.219301295876503,0.049122397005558,-0.240311849315961
"899","9797",1,272,254,0,1,0.335385,-0.205389863550663,0.0489144782225291,0.0796801981329918,0.00926765044530231
"900","10574",2,278,262,1,1,0.716763,-0.806036839485168,-0.377510666064918,0.356408204734325,0.0595105624198914
"901","26249",NA,272,259,0,1,0.456621,NA,NA,NA,NA
"902","10706",1,248,244,1,1,0.618182,0.156941046714783,0.0600987145900727,0.0386096882820129,0.0259958173831304
"903","9716",1,231,223,1,1,0.712598,0.131188352406025,-0.155191065371037,0.036043988664945,0.0173891097307205
"904","8579",2,228,227,1,1,0.330189,-0.650154803991318,-0.0752892844166075,0.015367369055748,0.0154463221132756
"905","20401",NA,262.271,259.618,0,1,0.58209,NA,NA,NA,NA
"906","10748",1,262,251,1,1,0.526893,0.0466096739768982,-0.0605916190147401,0.0601660598441959,0.060253116513292
"907","12076",1,250,238,0,1,0.674797,-0.106438541826792,-0.143532182806068,-0.0381927655501799,0.0745980195701123
"908","25349",1,268,258,0,0,0.118447,-0.0176341123878956,-0.0128949556748073,0.0420916625857353,0.0347179881164006
"909","8581",1,258,255,1,1,0.471311,0.183677709847689,0.0200324630737305,0.0224137769142787,0.0586455076932907
"910","25751",1,277,284,0,0,0.112583,0.0914431655832699,0.0386274307966232,0.0363385360240936,0.034232604265213
"911","10621",1,257,262,0,1,0.58496,0.042729525126162,0.0273937813310247,0.0519557953932706,0.0282323310275873
"912","31421",1,286,280,0,0,0.361022,-0.0650982970992724,0.047008680999279,0.0699643807609875,0.0479600022236506
"913","25342",1,281,270,0,0,0.09205,0.00410967628161119,-0.0749208568533262,0.00848507742583748,0.0841617852449417
"914","9883",1,254,244,1,1,0.549894,0.131134760499001,0.0824399533536699,0.0491109231540134,-0.286806834340096
"915","31432",2,251,245,1,1,0.486692,-0.35585196763277,-0.294321933587392,0.0619134827454885,0.0296921920776367
"916","25290",2,251,250,0,0,0.404494,-0.120076637379825,-0.470999236106873,0.0041356615722179,0.00799123922983802
"917","25153",1,291,293,0,0,0.152561,-0.0659769495297223,0.0357827072342237,0.0163174802064896,0.0176844508449236
"918","10220",1,285,290,0,1,0.306525,0.0257744715306908,0.0575883169968923,0.0977205910195004,0.0541013777256012
"919","31425",1,266,260,0,0,0.671875,0.257043030709028,0.0791390559077263,0.0347872456908226,0.0753677835067114
"920","26244",1,278,255,0,1,0.5671,0.157754943668842,0.0661650758981704,-0.107677628993988,-0.283577398260434
"921","10217",2,230,221,0,1,0.647059,-0.261390843838453,-0.370321434736252,0.0253489470481872,0.00780592620372778
"922","9998",NA,244,233,1,1,0.549123,NA,NA,NA,NA
"923","10561",1,258,248,1,1,0.709402,0.0643492351472378,0.0552786183357239,0.0175824108719825,0.0294960258901119
"924","10028",1,263,238,0,1,0.461165,0.0871559761464595,0.106928600072861,0.0554507841666539,0.0528384615977605
"925","9512",1,239,239,0,1,0.514019,0.106381660699844,0.03936108648777,0.119898969531059,0.0175335201621055
"926","9699",1,226,212,1,1,0.625874,0.108201874097188,0.071330657516207,0.057218478123347,0.0265727388858795
"927","9458",NA,252,251,1,1,0.573123,NA,NA,NA,NA
"928","9131",1,271,287,1,1,0.489177,-0.0547651014725367,0.0575301761925221,0.0500843005520957,0.0512378615140915
"929","10427",1,264,261,1,1,0.578125,0.0711238780617713,-0.143779267519712,0.0157344086964925,0.0132564723491668
"930","9356",1,281,273,0,1,0.193998,-0.069076695409846,-0.00486391343673065,0.0359736920727624,0.060171889786919
"931","9721",NA,223,212,1,1,0.707547,NA,NA,NA,NA
"932","9734",2,232,223,1,1,0.716418,0.0623491865396499,-0.266285426815351,0.00645814865827565,0.0272385370731354
"933","11812",1,276,280,0,1,0.426647,0.0429760193452239,0.103581629182611,0.0819951188564301,0.0606773804956012
"934","11952",NA,251,229,0,1,0.663004,NA,NA,NA,NA
"935","25541",1,287,284,0,0,0.006452,0.0231748660405476,0.110051252581179,0.0197725756679262,0.0282681098580361
"936","10671",1,256,264,1,1,0.626667,0.115853726565838,0.023829336365064,0.0179880106449127,0.01327550192674
"937","9766",1,270,256,0,0,0.132394,0.10568075850606,0.200794650822878,0.0197770896553994,0.125092192590237
